student_id,name,programme,year,gpa_sem1,gpa_sem2,gpa_sem3,attendance,lms_logins,facility_access,library_visits,after_hours_wifi,assignment_submissions,risk_label
N23367729L,Thandeka Matsiga,BSc Data Science,1,3.01,3.51,3.85,90.1,11.64,9.01,5.01,1.03,4.73,low
N22716113L,Clever Sithole,BSc Data Science,1,3.26,3.36,4.0,89.77,11.6,8.98,5.01,1.01,5.02,low
N23211834L,Fungai Dlodlo,BSc Computer Engineering,2,3.17,3.45,3.57,89.81,12.29,8.98,5.08,1.03,4.75,low
N23387813L,Tashinga Makaza,BSc Informatics,5,3.81,3.68,3.42,89.93,12.38,8.99,5.15,1.06,4.97,low
N22913423L,Fungai Chimuti,BSc Computer Engineering,3,3.28,3.93,3.53,89.71,11.91,8.97,5.02,0.99,5.48,low
N21758765L,Farai Sibanda,BSc Data Science,1,2.48,2.44,2.01,30.59,2.11,3.06,0.0,8.02,1.0,high
N21194511L,Clever Matsvimbo,BSc Information Technology,1,3.68,3.76,3.05,90.14,12.34,9.01,5.04,0.94,5.15,low
N22656639L,Tatenda Ngwenya,BSc Information Systems,1,3.77,3.35,3.79,89.63,11.97,8.96,5.12,1.02,5.25,low
N22882824L,Tafadzwa Dube,BSc Business Computing,4,3.12,3.02,3.13,90.18,12.17,9.02,4.85,1.03,5.31,low
N23986827L,Grace Nyathi,BSc Computer Science,1,2.22,2.32,2.96,65.42,4.58,6.54,1.97,3.88,3.06,medium
N23486490L,Rudo Makaza,BSc Information Technology,1,3.64,3.23,3.58,90.08,11.35,9.01,5.09,1.02,5.04,low
N21594379L,Tashinga Chimuti,BSc Computer Engineering,4,3.06,2.84,3.11,89.92,11.9,8.99,4.99,0.99,4.93,low
N23835132L,Clever Sithole,BSc Computer Science,1,2.07,2.16,1.74,30.23,1.99,3.02,0.0,8.22,0.95,high
N23221761L,Farai Mpofu,BSc Information Systems,4,3.02,2.85,2.75,90.15,11.58,9.01,5.06,1.05,4.81,low
N24539486L,Precious Ncube,BSc Information Technology,2,3.1,3.99,3.72,89.98,11.76,9.0,5.0,0.93,4.97,low
N22134305L,Tinotenda Chikwanda,BSc Business Computing,4,3.5,3.84,3.13,89.56,12.38,8.96,5.12,1.07,5.31,low
